Title,Year,Age,IMDb,Rotten Tomatoes
"The Good, the Bad and the Ugly",1966,18+,8.8,97%
The Pianist,2002,18+,8.5,95%
3 Idiots,2009,13+,8.4,100%
Once Upon a Time in the West,1968,13+,8.5,95%
Drive,2011,18+,7.8,92%
Train to Busan,2016,none,7.5,94%
What's Eating Gilbert Grape,1993,13+,7.8,90%
Amy,2015,18+,7.8,95%
The Squid and the Whale,2005,18+,7.3,92%
Starred Up,2013,18+,7.4,99%
The Square,2013,none,8.1,100%
Freedom Writers,2007,13+,7.5,70%
The Boy Who Harnessed the Wind,2019,7+,7.6,87%
The Rainmaker,1997,13+,7.2,83%
The Invitation,2015,none,6.6,88%
The Fundamentals of Caring,2016,18+,7.3,77%
The Ring,2002,13+,7.1,71%
Trumbo,2015,18+,7.5,74%
Patriot Games,1992,18+,6.9,72%
Mirage,2018,18+,7.4,71%
Kon-Tiki,2012,13+,7.2,81%
The Score,2001,18+,6.8,73%
Hamburger Hill,1987,18+,6.7,100%
Blue Jay,2016,none,7.3,90%
Child's Play,1988,18+,6.6,71%
The Christmas Chronicles,2018,7+,7.1,64%
Remember,2015,18+,7.5,70%
The Interview,2014,18+,6.5,52%
Black Snake Moan,2006,18+,6.9,66%
Cargo,2017,none,6.3,85%
Girl,2018,18+,7.2,84%
"Love, Rosie",2014,18+,7.2,33%
The Babysitter,2017,18+,6.3,71%
The Duchess,2008,13+,6.9,62%
Whisky,2004,none,7.1,100%
She's Out of My League,2010,18+,6.4,58%
Ittefaq,2017,7+,7.2,89%
Retribution,2015,none,6.6,100%
Young Adult,2011,18+,6.2,80%
One Day,2011,13+,7,36%
Elena,2013,none,7.6,85%
Hot Rod,2007,13+,6.7,39%
Bandits,2001,13+,6.5,64%
Blame!,2017,13+,6.7,82%
World Trade Center,2006,13+,5.9,67%
I Am Kalam,2010,all,8,80%
The First Wives Club,1996,7+,6.4,50%
The Angel,2018,18+,6.6,75%
Breath,2017,18+,6.7,80%
Eye for an Eye,2019,none,6.6,88%
Evolution,2001,13+,6.1,43%
After,2019,13+,5.4,17%
Kiss the Girls,1997,18+,6.6,29%
(T)ERROR,2015,none,6.6,91%
Andaz Apna Apna,1994,7+,8.2,none
Let There Be Light,1946,none,7.4,83%
From Paris with Love,2010,18+,6.5,38%
The Monster,2016,18+,5.4,81%
Mirror Mirror,2012,7+,5.6,50%
Brooklyn's Finest,2009,18+,6.7,44%
Ten Years,2015,none,6.7,100%
Mike Birbiglia: My Girlfriend's Boyfriend,2013,none,8,100%
Lovesong,2017,none,6.3,83%
A Christmas Prince,2017,7+,5.7,73%
The 36th Chamber of Shaolin,1978,18+,7.7,none
Chupke Chupke,1975,18+,8.4,none
A Night at the Roxbury,1998,13+,6.3,11%
Gol Maal,1979,18+,8.6,none
Eli,2019,18+,5.7,48%
City of Joy,2016,none,7.3,100%
The Core,2003,13+,5.5,40%
Sólo con tu pareja,1992,none,6.9,67%
The Debt Collector,2018,none,5.7,80%
Kabali,2016,18+,6.2,64%
Pari,2018,13+,6.6,45%
Sleepless,2017,18+,5.6,25%
Detour,2017,18+,6.2,65%
The Bleeding Edge,2018,16+,7.7,100%
Don,2006,13+,7.2,none
Toro,2016,13+,5.9,80%
The Student,2016,13+,6.9,87%
God's Not Dead,2014,7+,4.7,13%
Zero,2018,none,5.5,31%
The Outsider,2018,none,6.3,15%
Four Sisters And A Wedding,2013,none,7.3,none
Room on the Broom,2012,all,7.6,none
Bill Hicks: Sane Man,1989,18+,8.5,none
Amar Akbar Anthony,1977,18+,7.5,none
Closed Circuit,2013,18+,6.2,43%
Namastey London,2007,none,7.1,none
It Takes Two,1995,7+,5.9,8%
Hum Aapke Hain Koun..!,1994,none,7.5,none
No Game No Life: Zero,2017,13+,7.5,none
The Do-Over,2016,18+,5.7,9%
The Five Venoms,1978,18+,7.1,none
Bawarchi,1972,none,8,none
Mute,2018,18+,5.4,20%
Socha Na Tha,2005,none,7.5,none
Bhoot,2003,none,6.5,67%
"Yours, Mine & Ours",2005,7+,5.5,6%
Iliza Shlesinger: War Paint,2013,none,6.7,none
Jeff Dunham: Jeff Dunham's Very Special Christmas Special,2008,13+,7.5,none
Imagine That,2009,7+,5.6,41%
Ek Hasina Thi,2004,none,7.6,none
Patrick,2018,16+,5.8,36%
Sleepover,2004,7+,5.3,15%
The Amityville Horror,2005,18+,6,none
Aarakshan,2011,13+,6.2,57%
Pandora,2016,18+,6.6,none
Bill Hicks: Revelations,1993,none,8.6,none
The Last Summer,2019,16+,5.6,17%
Jeff Dunham: Controlled Chaos,2011,none,7.5,none
"The Goods: Live Hard, Sell Hard",2009,18+,5.8,27%
U Turn,2016,18+,7.5,none
The After Party,2018,none,5.8,none
Jeff Dunham: Arguing with Myself,2006,13+,8,none
Guilty,2020,none,5.5,none
Race,2008,none,6.7,none
Dream/Killer,2015,none,7.4,none
The Climb,2017,none,6.9,none
Friend Request,2016,18+,5.3,16%
Blind Date,2015,none,6.6,none
The Duel,2016,13+,5.8,26%
Tom Segura: Completely Normal,2014,none,7.8,none
Hangman,2017,18+,5.2,5%
Lila & Eve,2015,18+,5.8,40%
The Warning,2018,18+,5.9,56%
Soul Plane,2004,18+,4.5,18%
Untamed Romania,2018,7+,8.7,none
Sarkar,2018,none,6.8,none
Mujhse Shaadi Karogi,2004,7+,6.7,none
Across the Line,2016,none,5.1,83%
Giant,2017,13+,6.7,none
Namak Halaal,1982,all,7.3,none
Rainbow Time,2016,none,5.9,67%
Hum Saath Saath Hain,1999,all,6.2,none
Playing for Time,1980,none,7.4,none
Delirium,2018,18+,5.7,none
The Black Godfather,2019,18+,6.5,100%
Martin Lawrence Live: Runteldat,2002,18+,5.4,39%
Solo,2017,none,7.1,none
Satte Pe Satta,1982,none,7.2,none
Bhagam Bhag,2006,none,6.3,none
审死官,1992,7+,6.9,none
Point Blank,2019,18+,5.7,38%
The Wedding Party,2016,13+,6,none
Lavender,2016,none,5.4,36%
After Porn Ends,2012,18+,5.7,none
Shiva,1990,none,8,none
Screwed,2000,18+,5.8,13%
Martial Arts of Shaolin,1986,13+,6.6,none
Maska,2020,none,6,none
Mike Birbiglia: What I Should Have Said Was Nothing,2008,none,7.6,none
Return to the 36th Chamber,1980,18+,7,none
Ghayal,1990,18+,7.6,none
Ready,2011,none,4.7,30%
ABCD,2013,13+,6.3,none
300 Miles to Heaven,1989,none,7.2,none
Marc Maron: Thinky Pain,2013,none,7.4,none
Why We Fight: Prelude to War,1942,none,7,none
The Battle of Midway,1942,7+,6.1,none
Legendary Weapons of China,1982,18+,7,none
1920,2008,none,6.4,none
End Game,2018,none,7.1,none
Love on Delivery,1994,16+,6.9,none
Eerie,2018,none,4.7,none
