Title,Year,Age,IMDb,Rotten Tomatoes
Saving Mr. Banks,2013,13+,7.5,79%
Amy,2015,18+,7.8,95%
Bolt,2008,7+,6.8,89%
The Princess and the Frog,2009,all,7.1,85%
Miracle,2004,7+,7.5,81%
White Fang,2018,7+,6.9,88%
Chicken Little,2005,all,5.7,37%
Diana: In Her Own Words,2017,none,7.9,none
The Little Mermaid,2018,7+,4.2,20%
Zapped,2014,all,5.1,none
Free Solo,2018,13+,8.2,97%
Jane,2017,7+,7.8,98%
The Hunchback of Notre Dame,1923,none,7.3,91%
Teen Spirit,2019,13+,6.1,71%
The Kid,2019,18+,5.9,45%
Inside Out,2011,13+,4.5,25%
The Avengers,2012,13+,8,92%
Thor,2011,13+,7,77%
Captain America: The First Avenger,2011,13+,6.9,80%
Iron Man 2,2010,13+,7,73%
Robin Hood,1922,7+,7.2,100%
The Three Musketeers,1921,none,7,100%
Empire of Dreams: The Story of the Star Wars Trilogy,2004,none,8.3,none
Cinderella,1965,all,7.8,none
Starstruck,1982,7+,7,none
Elephant,1989,none,7.1,none
Noelle,2007,7+,5.9,57%
The Prince and the Pauper,2000,7+,6.5,none
"20,000 Leagues Under the Sea",1997,none,5,none
Bears,2001,none,7.3,none
The Swap,1979,18+,3.4,none
Sleeping Beauty,2014,13+,2.7,none
Star Wars: A New Hope,1977,7+,8.6,92%
Star Wars: The Empire Strikes Back,1980,7+,8.7,94%
The Lion King,1994,all,8.5,93%
Toy Story,1995,all,8.3,100%
Avengers: Endgame,2019,13+,8.4,93%
WALL·E,2008,all,8.4,95%
Up,2009,7+,8.2,98%
Guardians of the Galaxy,2014,13+,8,91%
Finding Nemo,2003,all,8.1,99%
Coco,2017,7+,8.4,97%
Toy Story 3,2010,all,8.3,98%
"Monsters, Inc.",2001,all,8,96%
Star Wars: Return of the Jedi,1983,7+,8.3,82%
Zootopia,2016,7+,8,98%
Star Wars: The Force Awakens,2015,13+,7.9,93%
Captain America: Civil War,2016,13+,7.8,91%
Thor: Ragnarok,2017,13+,7.9,93%
The Princess Bride,1987,7+,8.1,97%
Ratatouille,2007,all,8,96%
Captain America: The Winter Soldier,2014,13+,7.7,90%
Aladdin,1992,all,8,95%
Toy Story 2,1999,all,7.9,100%
The Incredibles,2004,7+,8,97%
Pirates of the Caribbean: The Curse of the Black Pearl,2003,13+,8,79%
Avatar,2009,13+,7.8,82%
Big Hero 6,2014,7+,7.8,89%
Doctor Strange,2016,13+,7.5,89%
Guardians of the Galaxy Vol. 2,2017,13+,7.6,85%
Rogue One: A Star Wars Story,2016,13+,7.8,84%
Toy Story 4,2019,all,7.8,97%
Moana,2016,7+,7.6,95%
Frozen,2013,7+,7.4,90%
The Nightmare Before Christmas,1993,7+,8,95%
Black Panther,2018,13+,7.3,97%
Tangled,2010,7+,7.7,89%
Wreck-It Ralph,2012,7+,7.7,87%
Ant-Man,2015,13+,7.3,83%
Onward,2020,7+,7.5,88%
Avengers: Age of Ultron,2015,13+,7.3,75%
Mary Poppins,1964,all,7.8,100%
Finding Dory,2016,7+,7.3,94%
Who Framed Roger Rabbit,1988,7+,7.7,97%
Mulan,1998,all,7.6,86%
Iron Man 3,2013,13+,7.2,79%
The Sound of Music,1965,all,8,83%
Ice Age,2002,7+,7.5,77%
Cars,2006,all,7.1,75%
Snow White and the Seven Dwarfs,1937,all,7.6,98%
Monsters University,2013,all,7.3,80%
Frozen II,2019,7+,6.9,77%
Togo,2019,7+,8.1,91%
A Bug's Life,1998,all,7.2,92%
The Jungle Book,1967,all,7.6,87%
Remember the Titans,2000,7+,7.8,73%
Brave,2012,7+,7.1,78%
The Simpsons Movie,2007,13+,7.3,88%
Fantasia,1940,all,7.8,94%
The Emperor's New Groove,2000,all,7.3,85%
The Straight Story,1999,all,8,95%
One Hundred and One Dalmatians,1961,all,7.2,98%
Lady and the Tramp,1955,all,7.3,93%
Pinocchio,1940,all,7.4,100%
Thor: The Dark World,2013,13+,6.9,66%
Star Wars: The Last Jedi,2017,13+,7,90%
Lilo & Stitch,2002,7+,7.2,86%
Star Wars: The Rise of Skywalker,2019,13+,6.7,52%
Pirates of the Caribbean: Dead Man's Chest,2006,13+,7.3,53%
Bambi,1942,all,7.3,90%
Captain Marvel,2019,13+,6.9,78%
Alice in Wonderland,1951,all,7.4,81%
Peter Pan,1953,all,7.3,80%
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,7+,6.9,76%
Miracle on 34th Street,1947,all,7.9,96%
Pirates of the Caribbean: At World's End,2007,13+,7.1,44%
