Title,Year,Age,IMDb,Rotten Tomatoes
Inception,2010,13+,8.8,87%
The Matrix,1999,18+,8.7,87%
Avengers: Infinity War,2018,13+,8.5,84%
Back to the Future,1985,7+,8.5,96%
"The Good, the Bad and the Ugly",1966,18+,8.8,97%
Spider-Man: Into the Spider-Verse,2018,7+,8.4,97%
The Pianist,2002,18+,8.5,95%
Django Unchained,2012,18+,8.4,87%
Raiders of the Lost Ark,1981,7+,8.4,95%
Inglourious Basterds,2009,18+,8.3,89%
Taxi Driver,1976,18+,8.3,95%
3 Idiots,2009,13+,8.4,100%
Pan's Labyrinth,2006,18+,8.2,95%
Room,2015,18+,8.1,93%
Monty Python and the Holy Grail,1975,7+,8.2,97%
Once Upon a Time in the West,1968,13+,8.5,95%
Indiana Jones and the Last Crusade,1989,13+,8.2,88%
Groundhog Day,1993,7+,8,96%
The King's Speech,2010,18+,8,95%
Her,2013,18+,8,95%
There Will Be Blood,2007,18+,8.2,91%
The Social Network,2010,13+,7.7,96%
Dallas Buyers Club,2013,18+,8,93%
The Perks of Being a Wallflower,2012,13+,8,86%
Life of Brian,1979,18+,8.1,95%
Ex Machina,2015,18+,7.7,92%
Silver Linings Playbook,2012,18+,7.7,92%
District 9,2009,18+,7.9,90%
The Irishman,2019,18+,7.9,96%
Moon,2009,18+,7.9,90%
Marriage Story,2019,18+,8,95%
Drive,2011,18+,7.8,92%
Train to Busan,2016,None,7.5,94%
Incredibles 2,2018,7+,7.6,94%
Dangal,2016,7+,8.4,88%
Klaus,2019,7+,8.2,94%
Minority Report,2002,13+,7.6,90%
Mystic River,2003,18+,7.9,88%
Like Stars on Earth,2007,7+,8.4,91%
Ferris Bueller's Day Off,1986,13+,7.8,80%
Despicable Me,2010,7+,7.6,81%
Hell or High Water,2016,18+,7.6,97%
Sin City,2005,18+,8,77%
Ip Man,2008,18+,8,85%
Indiana Jones and the Temple of Doom,1984,7+,7.6,85%
The Theory of Everything,2014,13+,7.7,79%
The Pursuit of Happyness,2006,13+,8,67%
Senna,2010,13+,8.5,93%
